,Price,Age,KM,FuelType,HP,MetColor,Automatic,CC,Doors,Weight,Predicted Price,Model Split,Accuracy
0,13500,23,46986,Diesel,90,1,0,2000,3,1165,13500,Test Data,0
1,13750,23,72937,Diesel,90,1,0,2000,3,1165,13750,Test Data,0
2,13950,24,41711,Diesel,90,1,0,2000,3,1165,13950,Test Data,0
3,14950,26,48000,Diesel,90,0,0,2000,3,1165,14950,Test Data,0
4,13750,30,38500,Diesel,90,0,0,2000,3,1170,13750,Test Data,0
5,12950,32,61000,Diesel,90,0,0,2000,3,1170,12950,Test Data,0
6,16900,27,63634,Diesel,101.4783217,1,0,2000,3,1245,16900,Test Data,0
7,18600,30,75889,Petrol,90,1,0,2000,3,1245,18600,Test Data,0
8,21500,27,19700,Petrol,192,0,0,1800,3,1185,21500,Test Data,0
9,12950,23,71138,Diesel,101.4783217,1,0,1900,3,1105,12950,Test Data,0
10,20950,25,31461,Petrol,192,0,0,1800,3,1185,20950,Test Data,0
11,19950,22,43610,Petrol,192,0,0,1800,3,1185,19950,Test Data,0
12,19600,25,32189,Petrol,192,0,0,1800,3,1185,19600,Test Data,0
13,21500,31,23000,Petrol,192,1,0,1800,3,1185,21500,Test Data,0
14,22500,32,34131,Petrol,192,1,0,1800,3,1185,22500,Test Data,0
15,22000,28,18739,Petrol,101.4783217,0,0,1800,3,1185,22000,Test Data,0
16,22750,30,34000,Petrol,192,1,0,1800,3,1185,22750,Test Data,0
17,17950,24,21716,Petrol,110,1,0,1600,3,1105,17950,Test Data,0
18,16750,24,25563,Petrol,110,0,0,1600,3,1065,16750,Test Data,0
19,16950,30,64359,Petrol,110,1,0,1600,3,1105,16950,Test Data,0
20,15950,30,67660,Petrol,110,1,0,1600,3,1105,15950,Test Data,0
21,16950,29,43905,Petrol,110,0,1,1600,3,1170,16950,Test Data,0
22,15950,28,56349,Petrol,110,1,0,1600,3,1120,15950,Test Data,0
23,16950,28,32220,Petrol,110,1,0,1600,3,1120,16950,Test Data,0
24,16250,29,25813,Petrol,110,1,0,1600,3,1120,16250,Test Data,0
25,15950,25,28450,Petrol,110,1,0,1600,3,1120,15950,Test Data,0
26,17495,27,34545,Petrol,110,1,0,1600,3,1120,17495,Test Data,0
27,15750,29,41415,Petrol,110,1,0,1600,3,1120,15750,Test Data,0
28,16950,28,44142,Petrol,110,0,0,1600,3,1120,16950,Test Data,0
29,17950,30,11090,Petrol,110,1,0,1600,3,1120,17950,Test Data,0
30,12950,29,9750,Petrol,97,1,0,1400,3,1100,12950,Test Data,0
31,15750,22,35199,Petrol,97,1,0,1400,3,1100,15750,Test Data,0
32,15950,27,29510,Petrol,97,1,0,1400,3,1100,15950,Test Data,0
33,14950,55.67215569,32692,Petrol,97,1,0,1400,3,1100,14950,Test Data,0
34,15500,22,41000,Petrol,97,1,0,1400,3,1100,15500,Test Data,0
35,15750,26,43000,Petrol,97,0,0,1400,3,1100,15750,Test Data,0
36,15950,25,25000,Petrol,97,0,0,1400,3,1100,15950,Test Data,0
37,14950,23,10000,Petrol,97,1,0,1400,3,1100,14950,Test Data,0
38,15750,32,25329,Petrol,97,1,0,1400,3,1100,15750,Test Data,0
39,14750,27,27500,Petrol,97,0,0,1400,3,1100,14750,Test Data,0
40,13950,22,49059,Petrol,97,0,0,1400,3,1100,13950,Test Data,0
41,16750,27,44068,Petrol,97,1,0,1400,3,1100,16750,Test Data,0
42,13950,22,46961,Petrol,97,0,0,1400,3,1100,13950,Test Data,0
43,16950,27,110404,Diesel,90,1,0,2000,5,1255,16950,Test Data,0
44,16950,22,100250,Petrol,90,0,0,2000,5,1255,16950,Test Data,0
45,19000,23,84000,Diesel,90,1,0,2000,5,1270,19000,Test Data,0
46,17950,27,79375,Diesel,90,1,0,2000,5,1255,17950,Test Data,0
47,15800,22,75048,Petrol,97,1,0,1400,5,1110,15800,Test Data,0
48,17950,22,72215,Diesel,90,1,0,2000,5,1255,17950,Test Data,0
49,21950,31,64982,Petrol,192,1,0,1800,5,1195,21950,Test Data,0
50,17950,22,62636,Diesel,90,1,0,2000,5,1255,17950,Test Data,0
51,15750,30,57086,Petrol,97,1,0,1400,5,1110,15750,Test Data,0
52,20500,26,56000,Petrol,110,1,1,1600,5,1180,20500,Test Data,0
53,21950,27,49866,Petrol,192,1,0,1800,5,1195,21950,Test Data,0
54,15500,25,49163,Petrol,110,0,1,1600,5,1165,15500,Test Data,0
55,13250,55.67215569,45725,Petrol,110,1,0,1600,5,1075,13250,Test Data,0
56,15250,28,43210,Petrol,97,0,0,1400,5,1110,15250,Test Data,0
57,15250,26,43000,Petrol,97,0,0,1400,5,1110,15250,Test Data,0
58,18950,23,39704,Petrol,110,1,1,1600,5,1180,18950,Test Data,0
59,15999,30,38950,Petrol,110,1,0,1600,5,1130,15999,Test Data,0
60,14950,22,37400,Petrol,97,1,0,1400,5,1110,14950,Test Data,0
61,16500,27,37177,Petrol,110,1,0,1600,5,1130,16500,Test Data,0
62,18750,31,36544,Petrol,110,1,0,1600,5,1130,18750,Test Data,0
63,17950,30,33511,Petrol,110,1,0,1600,5,1130,17950,Test Data,0
64,17950,27,63634,Petrol,97,1,0,1400,5,1110,17950,Test Data,0
65,16950,26,32181,Petrol,110,1,0,1600,5,1075,16950,Test Data,0
66,18950,28,30993,Petrol,110,1,0,1600,5,1130,18950,Test Data,0
67,14950,22,30400,Petrol,97,1,0,1400,5,1110,14950,Test Data,0
68,22250,22,30000,Diesel,110,1,0,2000,5,1275,22250,Test Data,0
69,15950,25,29719,Petrol,97,1,0,1400,5,1110,15950,Test Data,0
